x,y,z,h,s,r,g,b
3677.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3697.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3717.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3737.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3757.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3777.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3797.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3817.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3837.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3857.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3877.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3897.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3917.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
